Page ID,Name,Views,Clicks,Purchase Rate
dog>food>dry-food,All / Dog / Food / Dry Food,7040,2195,0.26
dog>flea-and-worming,All / Dog / Flea And Worming,5550,3725,0.52
cat>food>wet-food,All / Cat / Food / Wet Food,5247,2514,0.43
dog>food,All / Dog / Food,5118,1204,0.2
dog,All / Dog,4947,1681,0.29
cat>litter-and-accessories,All / Cat / Litter And Accessories,3829,1551,0.31
cat>food>dry-food,All / Cat / Food / Dry Food,3574,1223,0.3
cat>food,All / Cat / Food,3325,1035,0.23
dog>toys,All / Dog / Toys,3284,1694,0.33
royal-canin,All / Royal Canin,2884,686,0.22
cat,All / Cat,2473,805,0.3
dog>treats,All / Dog / Treats,2464,909,0.27
cat>flea-and-worming,All / Cat / Flea And Worming,2445,1726,0.52
cat>toys,All / Cat / Toys,2282,1246,0.34
dog>beds,All / Dog / Beds,1885,1269,0.4
nexgard-spectra,All / Nexgard Spectra,1758,703,0.38
dog>food>wet-food,All / Dog / Food / Wet Food,1703,481,0.24
cat>trees-and-scratchers,All / Cat / Trees And Scratchers,1590,808,0.33
black-hawk,All / Black Hawk,1560,462,0.27
dog>grooming,All / Dog / Grooming,1490,832,0.38
simparica-trio,All / Simparica Trio,1394,510,0.34
cat>treats,All / Cat / Treats,1389,424,0.25
dog>collars-and-leads,All / Dog / Collars And Leads,1388,725,0.35
dog>health,All / Dog / Health,1337,629,0.35
dog>food>natural-food,All / Dog / Food / Natural Food,1210,373,0.22
dog>treats>natural-treats,All / Dog / Treats / Natural Treats,1198,536,0.32
dog>flea-and-worming>nexgard-spectra,All / Dog / Flea And Worming / Nexgard Spectra,1076,501,0.43
bravecto,All / Bravecto,1072,588,0.49
kong,All / Kong,975,441,0.35
cat>litter-and-accessories>litter-boxes,All / Cat / Litter And Accessories / Litter Boxes,965,460,0.34
dog>treats>dental-health,All / Dog / Treats / Dental Health,955,423,0.34
advance,All / Advance,950,269,0.26
ziwi,All / Ziwi,932,254,0.24
hills-science-diet,All / Hills Science Diet,922,256,0.25
greenies,All / Greenies,857,338,0.34
dog>training-and-clean-up,All / Dog / Training And Clean Up,853,391,0.35
cat>feeding,All / Cat / Feeding,837,383,0.33
dog>toys>interactive-toys,All / Dog / Toys / Interactive Toys,806,463,0.35
open-farm,All / Open Farm,799,289,0.33
taste-of-the-wild,All / Taste Of The Wild,770,316,0.34
dog>feeding,All / Dog / Feeding,742,401,0.35
dog>food>vet-diets,All / Dog / Food / Vet Diets,700,167,0.21
cat>food>vet-diets,All / Cat / Food / Vet Diets,690,250,0.31
dog>clothes,All / Dog / Clothes,675,256,0.27
kitten,All / Kitten,668,262,0.3
fancy-feast,All / Fancy Feast,662,240,0.27
hills-prescription-diet,All / Hills Prescription Diet,638,179,0.26
royal-canin-veterinary-diet,All / Royal Canin Veterinary Diet,624,166,0.22
dog>house-and-travel,All / Dog / House And Travel,609,290,0.35
dog>treats>long-lasting-treats,All / Dog / Treats / Long Lasting Treats,588,245,0.3
cat>beds,All / Cat / Beds,585,281,0.3
cat>grooming,All / Cat / Grooming,579,319,0.42
meals-for-mutts,All / Meals For Mutts,575,30,0.05
ivory-coat,All / Ivory Coat,560,193,0.31
dine,All / Dine,541,221,0.33
cat>health,All / Cat / Health,530,237,0.32
pawise,All / Pawise,527,69,0.1
bird,All / Bird,515,88,0.13
weruva,All / Weruva,508,193,0.22
feliway,All / Feliway,496,192,0.34
fish>food>holiday-feeders,All / Fish / Food / Holiday Feeders,464,8,0.02
advocate,All / Advocate,455,222,0.43
dog>treats>training-treats,All / Dog / Treats / Training Treats,452,178,0.27
bird>food>chicken-food,All / Bird / Food / Chicken Food,441,231,0.4
small-pet>food,All / Small Pet / Food,438,152,0.28
small-pet>toys-and-hideaways,All / Small Pet / Toys And Hideaways,419,153,0.26
cat>collars-and-leads,All / Cat / Collars And Leads,418,198,0.32
fish>food,All / Fish / Food,417,154,0.29
dog>training-and-clean-up>crates,All / Dog / Training And Clean Up / Crates,415,192,0.35
cat>food>natural-food,All / Cat / Food / Natural Food,414,180,0.3
dog>food>freeze-and-air-dried,All / Dog / Food / Freeze And Air Dried,407,127,0.24
cat>litter-and-accessories>tofu,All / Cat / Litter And Accessories / Tofu,391,168,0.37
dog>food>black-hawk,All / Dog / Food / Black Hawk,387,87,0.22
cat>litter-and-accessories>self-cleaning,All / Cat / Litter And Accessories / Self Cleaning,387,186,0.42
drontal,All / Drontal,379,210,0.54
cat>feeding>water-fountains,All / Cat / Feeding / Water Fountains,361,180,0.34
nexgard,All / Nexgard,358,120,0.31
applaws,All / Applaws,358,139,0.33
revolution-plus,All / Revolution Plus,356,119,0.29
dog>health>joint-care,All / Dog / Health / Joint Care,351,190,0.42
pro-plan,All / Pro Plan,349,96,0.24
dog>health>dental-care,All / Dog / Health / Dental Care,349,215,0.44
dog>food>puppy,All / Dog / Food / Puppy,344,125,0.28
dog>health>stress-and-anxiety,All / Dog / Health / Stress And Anxiety,339,243,0.51
cat>food>freeze-and-air-dried,All / Cat / Food / Freeze And Air Dried,335,96,0.25
savourlife,All / Savourlife,335,106,0.26
milbemax,All / Milbemax,332,181,0.53
the-curious-box,All / The Curious Box,321,150,0.4
paws-for-life,All / Paws For Life,319,118,0.26
orijen,All / Orijen,318,32,0.09
small-pet>beds,All / Small Pet / Beds,314,43,0.16
oravet,All / Oravet,314,143,0.46
dog>clothes>shoes,All / Dog / Clothes / Shoes,313,165,0.46
cat>litter-and-accessories>clumping,All / Cat / Litter And Accessories / Clumping,312,139,0.38
cat>house-and-travel,All / Cat / House And Travel,309,165,0.38
dog>food>premium,All / Dog / Food / Premium,308,88,0.21
zylkene,All / Zylkene,305,174,0.54
adaptil,All / Adaptil,303,169,0.5
wellness,All / Wellness,301,126,0.34
breeders-choice,All / Breeders Choice,297,76,0.25
supercoat,All / Supercoat,292,79,0.24
felix,All / Felix,290,80,0.21
cat>feeding>food-dispensers,All / Cat / Feeding / Food Dispensers,286,138,0.34
dog>food>grain-free,All / Dog / Food / Grain Free,285,103,0.29
dog>technology,All / Dog / Technology,283,64,0.2
simparica,All / Simparica,282,107,0.36
cat>toys>interactive-toys,All / Cat / Toys / Interactive Toys,277,127,0.32
dog>feeding>bowls,All / Dog / Feeding / Bowls,276,107,0.28
puppy,All / Puppy,271,94,0.34
milpro,All / Milpro,269,121,0.39
dog>treats>freeze-and-air-dried,All / Dog / Treats / Freeze And Air Dried,266,69,0.21
bravecto-plus,All / Bravecto Plus,261,134,0.52
small-pet>treats,All / Small Pet / Treats,260,106,0.29
fish>tanks-and-aquariums,All / Fish / Tanks And Aquariums,260,74,0.24
dog>flea-and-worming>fleas,All / Dog / Flea And Worming / Fleas,256,32,0.11
dog>house-and-travel>gates,All / Dog / House And Travel / Gates,252,63,0.2
cat>training-and-clean-up,All / Cat / Training And Clean Up,249,106,0.24
optimum,All / Optimum,248,64,0.25
dog>toys>tough,All / Dog / Toys / Tough,248,132,0.39
fuzzyard,All / Fuzzyard,245,88,0.25
fish>decorations,All / Fish / Decorations,244,119,0.28
cat>health>stress-and-anxiety,All / Cat / Health / Stress And Anxiety,238,109,0.38
instinctive-bite,All / Instinctive Bite,236,96,0.38
small-pet>cages-and-accessories,All / Small Pet / Cages And Accessories,233,89,0.28
bird>perches-and-toys,All / Bird / Perches And Toys,231,75,0.23
dog>health>ear-care,All / Dog / Health / Ear Care,230,119,0.42
dog>flea-and-worming>all-in-one,All / Dog / Flea And Worming / All In One,229,141,0.47
cat>technology,All / Cat / Technology,229,103,0.33
feline-natural,All / Feline Natural,228,90,0.31
dog>toys>puppy,All / Dog / Toys / Puppy,226,118,0.37
wahl,All / Wahl,225,99,0.36
