Product Name,Units Sold
breeders-choice-cat-litter,3710
nexgard-spectra-large-dog,1359
black-hawk-dry-dog-food-adult-lamb-and-rice,1334
nexgard-spectra-medium-dog,1089
black-hawk-dry-dog-food-adult-chicken-and-rice,956
nexgard-spectra-small-dog,810
catsan-ultra,806
royal-canin-indoor-adult-dry-cat-food,794
nexgard-spectra-very-large-dog,752
trouble-and-trix-natural-pellets-clumping-cat-litter-scent-free,746
royal-canin-veterinary-diet-canine-hypoallergenic-dry-food,738
royal-canin-veterinary-urinary-so-chicken-wet-cat-food-pouches,731
royal-canin-labrador-retriever-adult-dry-dog-food,678
royal-canin-adult-instinctive-gravy-wet-cat-food-pouches,615
royal-canin-indoor-adult-gravy-wet-cat-food-pouches,596
royal-canin-medium-adult-dry-dog-food,583
royal-canin-veterinary-gastro-intestinal-low-fat-dry-dog-food,566
dine-creamy-treats-chicken-selection,547
royal-canin-mini-adult-dry-dog-food,532
royal-canin-indoor-adult-jelly-wet-cat-food-pouches,532
royal-canin-maxi-adult-dry-dog-food,527
royal-canin-veterinary-sensitivity-control-wet-cat-food-pouches,522
fancy-feast-variety-pack-seafood-grilled-wet-cat-food,491
fancy-feast-inspirations-chicken-pack,487
royal-canin-dental-care-adult-dry-cat-food,486
dine-fresh-and-fine-in-gravy-chicken-and-turkey-wet-cat-food-pouches,470
simparica-trio-large,465
michu-natural-clumping-tofu-cat-litter-original,462
bravecto-plus-for-medium-cats,460
poowee-litter-clumping-lavender,448
royal-canin-veterinary-gastro-intestinal-wet-dog-food-cans,429
royal-canin-veterinary-renal-chicken-wet-cat-food-pouches,420
royal-canin-veterinary-diet-canine-anallergenic-dry-food,419
4cyte-canine-joint-support-supplement,417
vitapet-scoopable-cat-litter-kitchen-and-bathroom-scented,416
feline-first-clumping-litter,416
catlux-softwood-clumping-litter,409
hills-prescription-diet-td-dental-care-dry-cat-food,407
paws-for-life-poop-bags,406
hills-science-diet-adult-oral-care-dry-cat-food,406
fancy-feast-variety-pack-poultry-beef-pate-wet-cat-food,405
advocate-cat-large-purple,396
fancy-feast-variety-pack-gravy-lovers-poultry-beef-wet-cat-food,385
instinctive-bite-grain-free-adult-dry-dog-food-kangaroo-sweet-potato,369
ezi-lockodour-absorbant-cat-pads,368
royal-canin-digest-sensitive-gravy-wet-cat-food-pouches,360
greenies-original-regular-dog-dental-treats,357
greenies-cat-treats-dental-oven-roasted-chicken-flavour,356
blackdog-chicken-breast,354
dine-fresh-and-fine-in-gravy-salmon-and-tuna-wet-cat-food-pouches,354
chandler-original-natural-cat-litter,351
royal-canin-golden-retriever-adult-dry-dog-food,348
fancy-feast-variety-pack-cheddar-delights-grilled-wet-cat-food,347
dine-multipack-classic-collection-slices-with-succulent-chicken-and-slices-with-tender-turkey-wet-cat-food-tray,346
trouble-and-trix-crystal-litter-lavender,344
royal-canin-veterinary-urinary-so-dry-cat-food,339
trouble-and-trix-crystal-litter-anti-bacterial,339
royal-canin-veterinary-dental-dry-cat-food,335
black-hawk-dry-dog-food-adult-fish-and-potato,329
simparica-trio-small,328
temptations-tasty-chicken-cat-treats,327
royal-canin-veterinary-renal-with-fish-wet-cat-food-pouches,326
dine-classic-collection-saucy-morsels-with-tuna-mornay-and-cheese-wet-cat-food-tray,326
michu-natural-clumping-tofu-cat-litter-peach,323
tofu-cat-litter-australia-original,323
pedigree-dentastix-daily-dental-large-giant-dog-treats,323
royal-canin-kitten-instinctive-gravy-wet-cat-food-pouches,321
petz-park-probiotic,314
royal-canin-hairball-care-adult-dry-cat-food,305
royal-canin-mini-adult-wet-dog-food-pouches,301
royal-canin-veterinary-satiety-dry-dog-food,296
greenies-original-petite-dog-dental-treats,296
greenies-cat-treats-dental-catnip-flavour,295
paws-for-life-pee-pads,295
greenies-cat-treats-dental-savoury-salmon-flavour,294
dine-creamy-treats-seafood-selection,294
greenies-original-large-dog-dental-treats,294
eukanuba-adult-large-breed-dry-dog-food,291
fancy-feast-inspirations-salmon-tuna-variety-pack,290
purina-one-adult-urinary-care-chicken-wet-cat-food,288
hills-prescription-diet-cd-multicare-stress-urinary-care-dry-cat-food,287
dine-multipack-classic-collection-in-jelly-fish-selection-wet-cat-food-pouches,285
optimum-adult-dry-dog-food-chicken-vegetables-and-rice,284
greenies-original-teenie-dog-dental-treats,281
revolution-plus-orange-medium-cat,281
royal-canin-ragdoll-adult-dry-cat-food,277
eukanuba-adult-medium-breed-dry-dog-food,274
milbemax-all-wormer-for-dogs,274
dine-creamy-treats-tuna-selection,270
dine-classic-collection-saucy-morsels-with-salmon-wet-cat-food-tray,268
simparica-trio-medium,267
bravecto-large-dog-blue,265
fancy-feast-variety-pack-classic-beef-poultry-grilled-wet-cat-food,261
royal-canin-poodle-adult-dry-dog-food,258
applaws-cat-litter-natures-calling,258
dine-multipack-classic-collection-kitten-with-tender-chicken-and-ocean-fish-tray,258
scrunch-and-sticks-natural-recycled-paper-cat-litter,258
royal-canin-kitten-dry-cat-food,257
pro-plan-adult-chicken-gravy-wet-cat-food-pouches,256
dine-fresh-and-fine-in-jelly-chicken-and-turkey-wet-cat-food-pouches,256
royal-canin-hair-and-skin-gravy-wet-cat-food-pouches,255
dine-multipack-classic-collection-saucy-morsels-fish-selection-wet-cat-food-tray,255
royal-canin-french-bulldog-adult-dry-dog-food,254
royal-canin-hairball-care-gravy-wet-cat-food-pouches,254
rufus-and-coco-wee-kitty-clumping-corn-litter,253
royal-canin-dachshund-adult-dry-dog-food,249
advance-large-adult-dry-dog-food-chicken-with-rice,248
the-catsentials-crystal-litter,246
hills-prescription-diet-cd-multicare-urinary-care-dry-cat-food,246
rose-hip-vital-canine,246
greenies-feline-treats-dental-oven-roasted-chicken-flavour-tub,244
royal-canin-veterinary-diet-canine-hypoallergenic-wet-food,243
trouble-and-trix-clumping-litter-baking-soda,240
royal-canin-veterinary-diet-feline-hypoallergenic-dry-food,239
royal-canin-veterinary-urinary-so-wet-dog-food-cans,239
fancy-feast-savoury-centers-pate-chicken-gourmet-gravy-wet-cat-food,238
taste-of-the-wild-pacific-stream-smoked-salmon,237
ezi-lockodour-natural-mineral-zeolite-pellets,237
kong-airdog-squeaker-balls,234
hills-science-diet-adult-sensitive-stomach-skin-dry-dog-food,233
fancy-feast-chunky-chicken-wet-cat-food,232
black-hawk-dry-dog-food-large-breed-adult-chicken-and-rice,230
ivory-coat-grain-free-dry-dog-food-adult-lamb-and-sardine,230
feliway-refill,228
revolution-cat-blue,227
paw-and-spoon-ocean-whitefish-and-tuna-wet-cat-food,226
paws-for-life-wire-crate,225
paw-osteocare-joint-protect-chews,225
bravecto-medium-dog-green,225
better-puppy-bundle,225
royal-canin-adult-instinctive-jelly-wet-cat-food-pouches,224
advance-medium-adult-dry-dog-food-chicken-with-rice,223
vitapet-jerhigh-milky-sticks,223
felix-wet-cat-food-adult-sensations-jellies-favourites-menu-pouches,223
royal-canin-digestive-care-adult-dry-cat-food,222
hills-science-diet-adult-cat-dry-food,220
hills-prescription-diet-cd-multicare-salmon-cat-food-pouches,220
hills-prescription-diet-gastrointestinal-biome-digestive-fibre-care-with-chicken-dry-dog-food,216
trouble-and-trix-ultra-scoop-cat-litter,215
hills-science-diet-adult-indoor-dry-cat-food,215
whimzees-variety-dental-dog-treats,215
oravet-dental-hygiene-chews-small,213
advance-kitten-chicken-in-jelly-wet-cat-food-pouches,212
dine-creamy-treats-chicken-flavour,212
zylkene-for-small-dogs-and-cats,210
hills-prescription-diet-jd-joint-care-dry-dog-food,209
paws-for-life-cat-scratcher,208
hills-prescription-diet-gastrointestinal-biome-digestive-fibre-care-dry-cat-food,208
natures-cuts-kangaroo-training-treats,207
black-hawk-grain-free-dry-dog-food-adult-kangaroo,207
blackdog-sweet-potato-and-chicken-wrap,206
catmate-wood-pellet-cat-litter,206
hills-prescription-diet-metabolic-and-mobility-dry-dog-food,205
dine-melting-soup-tuna-and-salmon-pouch-wet-cat-food,205
ivory-coat-grain-free-dry-dog-food-adult-salmon-and-ocean-fish,202
supercoat-smartblend-dry-dog-food-large-breed-adult-chicken,201
dine-classic-collection-saucy-morsels-fish-selection-wet-cat-food-tray,201
michu-natural-clumping-tofu-cat-litter-greentea,200
bravecto-small-dog-orange,199
hills-prescription-diet-td-dental-care-dry-dog-food,199
royal-canin-mini-puppy-dry-dog-food,199
hills-prescription-diet-zd-skin-and-food-sensitivities-dry-dog-food,199
royal-canin-urinary-gravy-wet-cat-food-pouches,198
savourlife-grain-free-dog-food-salmon,197
supercoat-smartblend-dry-dog-food-adult-chicken,196
oravet-dental-hygiene-chews-medium,195
royal-canin-mini-puppy-wet-dog-food-pouches,195
black-hawk-grain-free-dry-dog-food-adult-salmon,193
my-dog-gourmet-selection,193
trouble-and-trix-clumping-litter-lavender,193
breeders-choice-plus-probiotic-litter,193
vella-free-range-layer-breeder-pellet,193
worlds-best-cat-litter-clumping-multi-cat,192
worlds-best-cat-litter-clumping,191
greenies-feline-treats-dental-catnip-flavour-tub,190
supercoat-smartblend-dry-dog-food-senior-with-ocean-fish,189
milbemax-all-wormer-for-cats,189
fancy-feast-royale-fine-flakes-tuna,189
blackdog-cow-ears,188
royal-canin-veterinary-gastro-intestinal-wet-cat-food-pouches,188
royal-canin-veterinary-diet-urinary-moderate-calorie-so-wet-cat-food-pouches,187
royal-canin-sensory-taste-gravy-wet-cat-food,186
fancy-feast-savoury-centers-pate-salmon-gourmet-gravy-wet-cat-food,186
supervite-happy-dog-dry-dog-food,183
hills-prescription-diet-cd-multicare-stress-urinary-care-chicken-and-vegetable-stew-canned-cat-food,182
